neighborhood,walk,transit,bike
Longwood Medical Area,93,100,96
Beacon Hill,98,100,73
East Boston,93,67,76
Hyde Park,87,60,58
West Roxbury,84,45,49
Mission Hill,87,97,84
Dorchester,89,74,52
Mattapan,83,69,61
South End,96,96,83
Downtown,96,100,77
North End,98,100,79
West End,94,100,84
Back Bay,96,97,88
Charlestown,88,68,68
Brighton,76,78,63
Allston,83,73,95
Roxbury,77,74,66
Chinatown,98,100,82
Fenway,96,96,90
Roslindale,87,65,65
South Boston,74,60,83
Leather District,97,100,83
Jamaica Plain,80,73,91
South Boston Waterfront,94,100,83
Bay Village,98,100,71
